Seed,Model,Threshold,Validation Threshold MCC,Train Seconds,Accuracy,Balanced Accuracy,Precision,Recall,Specificity,F1,ROC-AUC,PR-AUC,MCC,Cohen Kappa,Log Loss,Brier Score,FPR,FNR,TN,FP,FN,TP,Inference Seconds,Throughput Samples/Sec,Encoding,Layers,Epochs Executed,Maximum Epoch Budget,Beta Uncertainty,Beta Strategy,Selected Validation Cycle,Selected Validation Defense Score,Maximum Optimization Budget,Memory Size
7,LogisticRegression,0.7849999999999999,0.6014851826614852,0.008938199998738128,0.9,0.7321428571428572,1.0,0.4642857142857143,1.0,0.6341463414634146,0.7464871194379391,0.6303028319304899,0.6430019533342476,0.5850239763924752,0.4963412957616807,0.15923758663656412,0.0,0.5357142857142857,244,0,30,26,0.0002542000001994893,1180173.0911273332,,,,,,,,,,
7,PennyLaneVQC_Angle,0.4099999999999999,0.5524669060798213,560.7530728000002,0.8933333333333333,0.7280444964871194,0.9285714285714286,0.4642857142857143,0.9918032786885246,0.6190476190476191,0.813231850117096,0.6385603471863288,0.610906928028455,0.5649021029731689,0.3872846369830001,0.113604006693555,0.00819672131147541,0.5357142857142857,242,2,30,26,1.4533697999995638,206.41683899038637,angle,2.0,53.0,60.0,,,,,,
7,QCA,0.565,0.6014851826614852,706.2671661000004,0.8933333333333333,0.7280444964871194,0.9285714285714286,0.4642857142857143,0.9918032786885246,0.6190476190476191,0.7937646370023419,0.6340642061114752,0.610906928028455,0.5649021029731689,0.44895621733058877,0.13493436678784243,0.00819672131147541,0.5357142857142857,242,2,30,26,1.4589577999995527,205.62623538534973,,,,,0.1,Frozen from seed-42 validation,3.0,0.6397660254590559,60.0,600.0
7,RandomForest,0.4649999999999999,0.8763601677415711,0.9425602000010258,0.98,0.953307962529274,0.9807692307692307,0.9107142857142857,0.9959016393442623,0.9444444444444444,0.9909616510538641,0.975168018190225,0.9332215474080238,0.9322697170379289,0.07755549530630212,0.019354416666671533,0.004098360655737705,0.08928571428571429,243,1,5,51,0.07209460000012768,4161.19931311733,,,,,,,,,,
7,XGBoost,0.695,0.8875933832851179,0.2978798000003735,0.98,0.9601873536299765,0.9629629629629629,0.9285714285714286,0.9918032786885246,0.9454545454545454,0.9926083138173302,0.9776403420848241,0.9334459345590099,0.9332146037399822,0.0782566290531393,0.01918972435623658,0.00819672131147541,0.07142857142857142,242,2,4,52,0.002168099999835249,138370.00139421457,,,,,,,,,,
42,LogisticRegression,0.7849999999999999,0.6014851826614852,0.04080260000000635,0.9,0.7321428571428572,1.0,0.4642857142857143,1.0,0.6341463414634146,0.7464871194379391,0.6303028319304899,0.6430019533342476,0.5850239763924752,0.4963412957616807,0.15923758663656412,0.0,0.5357142857142857,244,0,30,26,0.0003405999996175524,880798.5917112723,,,,,,,,,,
42,PennyLaneVQC_Angle,0.41999999999999993,0.5524669060798213,669.8974113000004,0.8933333333333333,0.7280444964871194,0.9285714285714286,0.4642857142857143,0.9918032786885246,0.6190476190476191,0.8125731850117096,0.6379665256435345,0.610906928028455,0.5649021029731689,0.387610555781768,0.11362168880765154,0.00819672131147541,0.5357142857142857,242,2,30,26,1.9539762999997947,153.53308021188974,angle,2.0,47.0,60.0,,,,,,
42,QCA,0.5399999999999999,0.6014851826614852,964.4576538000001,0.8933333333333333,0.7280444964871194,0.9285714285714286,0.4642857142857143,0.9918032786885246,0.6190476190476191,0.7985948477751756,0.6361963142886373,0.610906928028455,0.5649021029731689,0.42971686679103743,0.1271794384548644,0.00819672131147541,0.5357142857142857,242,2,30,26,1.4377451000000292,208.66007472395066,,,,,0.1,Frozen from seed-42 validation,4.0,0.6439168403158634,60.0,600.0
42,RandomForest,0.295,0.8821458608861615,1.4981351999999788,0.9733333333333334,0.9560889929742389,0.9285714285714286,0.9285714285714286,0.9836065573770492,0.9285714285714286,0.9915837236533958,0.9758362262060875,0.9121779859484778,0.9121779859484778,0.07556684820297468,0.01941216666667173,0.01639344262295082,0.07142857142857142,240,4,4,52,0.09833200000002762,3050.888825610338,,,,,,,,,,
42,XGBoost,0.5599999999999999,0.8771961486017846,0.572263699999894,0.9766666666666667,0.9581381733021077,0.9454545454545454,0.9285714285714286,0.9877049180327869,0.9369369369369369,0.9910714285714285,0.9739928186990132,0.9226798052235295,0.922623434045689,0.0826392066785836,0.019506034539174336,0.012295081967213115,0.07142857142857142,241,3,4,52,0.002232399999684276,134384.51892242808,,,,,,,,,,
