Model,Metric,N Seeds,Mean,SD,95% CI Lower,95% CI Upper
LogisticRegression,Accuracy,5,0.9,0.0,0.9,0.9
LogisticRegression,Balanced Accuracy,5,0.7321428571428572,0.0,0.7321428571428572,0.7321428571428572
LogisticRegression,Precision,5,1.0,0.0,1.0,1.0
LogisticRegression,Recall,5,0.4642857142857143,0.0,0.4642857142857143,0.4642857142857143
LogisticRegression,Specificity,5,1.0,0.0,1.0,1.0
LogisticRegression,F1,5,0.6341463414634146,0.0,0.6341463414634146,0.6341463414634146
LogisticRegression,ROC-AUC,5,0.7464871194379391,0.0,0.7464871194379391,0.7464871194379391
LogisticRegression,PR-AUC,5,0.6303028319304899,0.0,0.6303028319304899,0.6303028319304899
LogisticRegression,MCC,5,0.6430019533342476,0.0,0.6430019533342476,0.6430019533342476
LogisticRegression,Cohen Kappa,5,0.5850239763924752,0.0,0.5850239763924752,0.5850239763924752
LogisticRegression,Log Loss,5,0.49634129576168073,6.206335383118183e-17,0.4963412957616807,0.4963412957616808
LogisticRegression,Brier Score,5,0.15923758663656412,0.0,0.15923758663656412,0.15923758663656412
LogisticRegression,FPR,5,0.0,0.0,0.0,0.0
LogisticRegression,FNR,5,0.5357142857142857,0.0,0.5357142857142857,0.5357142857142857
LogisticRegression,Train Seconds,5,0.013486139999440639,0.015330905343992172,-0.0055496932260641375,0.03252197322494542
LogisticRegression,Inference Seconds,5,0.00026731999960247774,4.113389115472377e-05,0.00021624552784962499,0.00031839447135533053
PennyLaneVQC_Angle,Accuracy,5,0.8933333333333333,0.0,0.8933333333333333,0.8933333333333333
PennyLaneVQC_Angle,Balanced Accuracy,5,0.7280444964871194,0.0,0.7280444964871194,0.7280444964871194
PennyLaneVQC_Angle,Precision,5,0.9285714285714286,0.0,0.9285714285714286,0.9285714285714286
PennyLaneVQC_Angle,Recall,5,0.4642857142857143,0.0,0.4642857142857143,0.4642857142857143
PennyLaneVQC_Angle,Specificity,5,0.9918032786885245,1.2412670766236366e-16,0.9918032786885244,0.9918032786885246
PennyLaneVQC_Angle,F1,5,0.6190476190476191,0.0,0.6190476190476191,0.6190476190476191
PennyLaneVQC_Angle,ROC-AUC,5,0.8134806791569087,0.0011693581693433084,0.8120287292170296,0.8149326290967878
PennyLaneVQC_Angle,PR-AUC,5,0.6381612982743603,0.0010281188564388011,0.6368847201044459,0.6394378764442747
PennyLaneVQC_Angle,MCC,5,0.610906928028455,0.0,0.610906928028455,0.610906928028455
PennyLaneVQC_Angle,Cohen Kappa,5,0.5649021029731689,0.0,0.5649021029731689,0.5649021029731689
PennyLaneVQC_Angle,Log Loss,5,0.38745851978850265,0.0002745903982636975,0.3871175707767262,0.3877994688002791
PennyLaneVQC_Angle,Brier Score,5,0.11367092109731354,7.788921814833077e-05,0.11357420885929052,0.11376763333533656
PennyLaneVQC_Angle,FPR,5,0.00819672131147541,0.0,0.00819672131147541,0.00819672131147541
PennyLaneVQC_Angle,FNR,5,0.5357142857142857,0.0,0.5357142857142857,0.5357142857142857
PennyLaneVQC_Angle,Train Seconds,5,574.9745245000003,181.20159117438692,349.98303232152705,799.9660166784735
PennyLaneVQC_Angle,Inference Seconds,5,2.422425259999636,1.9053376740465477,0.05663606571473956,4.788214454284533
QCA,Accuracy,5,0.8933333333333333,0.0,0.8933333333333333,0.8933333333333333
QCA,Balanced Accuracy,5,0.7280444964871194,0.0,0.7280444964871194,0.7280444964871194
QCA,Precision,5,0.9285714285714286,0.0,0.9285714285714286,0.9285714285714286
QCA,Recall,5,0.4642857142857143,0.0,0.4642857142857143,0.4642857142857143
QCA,Specificity,5,0.9918032786885245,1.2412670766236366e-16,0.9918032786885244,0.9918032786885246
QCA,F1,5,0.6190476190476191,0.0,0.6190476190476191,0.6190476190476191
QCA,ROC-AUC,5,0.7981264637002342,0.004003360621162407,0.7931556349451102,0.8030972924553582
QCA,PR-AUC,5,0.6346410557740547,0.0012888359633010987,0.6330407545588335,0.636241356989276
QCA,MCC,5,0.610906928028455,0.0,0.610906928028455,0.610906928028455
QCA,Cohen Kappa,5,0.5649021029731689,0.0,0.5649021029731689,0.5649021029731689
QCA,Log Loss,5,0.42958649617684347,0.012147097558237833,0.4145038824561107,0.44466910989757624
QCA,Brier Score,5,0.12724215608247597,0.004772340745512247,0.1213165123916125,0.13316779977333942
QCA,FPR,5,0.00819672131147541,0.0,0.00819672131147541,0.00819672131147541
QCA,FNR,5,0.5357142857142857,0.0,0.5357142857142857,0.5357142857142857
QCA,Train Seconds,5,1854.8285878,1617.5091188067674,-153.57425178865833,3863.231427388658
QCA,Inference Seconds,5,2062.3595901199997,4608.359660574909,-3659.674691190383,7784.393871430382
RandomForest,Accuracy,5,0.9773333333333334,0.00365148371670107,0.9727994174622784,0.9818672492043884
RandomForest,Balanced Accuracy,5,0.957172131147541,0.005703362008178797,0.9500904718732622,0.9642537904218197
RandomForest,Precision,5,0.9530219780219781,0.02635788220539232,0.9202943446186468,0.9857496114253094
RandomForest,Recall,5,0.925,0.01494035761667992,0.9064490958270792,0.9435509041729209
RandomForest,Specificity,5,0.989344262295082,0.006215471675452123,0.9816267348838179,0.9970617897063461
RandomForest,F1,5,0.9384920634920636,0.009092412093166316,0.9272023427391465,0.9497817842449807
RandomForest,ROC-AUC,5,0.990961651053864,0.0005283785523343587,0.9903055824280075,0.9916177196797206
RandomForest,PR-AUC,5,0.9755297740570062,0.0006398688480775562,0.9747352719447763,0.9763242761692362
RandomForest,MCC,5,0.9249865112348722,0.011698456011868105,0.9104609595703652,0.9395120628993792
RandomForest,Cohen Kappa,5,0.9246057790868342,0.011370457767794943,0.9104874910334668,0.9387240671402015
RandomForest,Log Loss,5,0.07701565602599328,0.001744160623479969,0.07484999457273357,0.07918131747925299
RandomForest,Brier Score,5,0.019310025000004685,0.0003140844434707109,0.018920037654151237,0.019700012345858133
RandomForest,FPR,5,0.010655737704918034,0.00621547167545209,0.0029382102936539433,0.018373265116182126
RandomForest,FNR,5,0.075,0.014940357616679924,0.056449095827079146,0.09355090417292085
RandomForest,Train Seconds,5,1.0419130600003883,0.2596773384241163,0.7194810577297881,1.3643450622709885
RandomForest,Inference Seconds,5,0.08123620000005757,0.010454416529794617,0.06825532737278527,0.09421707262732988
XGBoost,Accuracy,5,0.9793333333333333,0.002788866755113557,0.9758704978877214,0.9827961687789452
XGBoost,Balanced Accuracy,5,0.9584016393442623,0.0042477579449731835,0.9531273512309051,0.9636759274576194
XGBoost,Precision,5,0.962955339559113,0.012620909046710913,0.9472844111712079,0.9786262679470182
XGBoost,Recall,5,0.925,0.00798595706249927,0.9150841246242936,0.9349158753757065
XGBoost,Specificity,5,0.9918032786885245,0.0028979786114202797,0.9882049629791594,0.9954015943978896
XGBoost,F1,5,0.9435508569453525,0.007471049762057189,0.9342743234270172,0.9528273904636877
XGBoost,ROC-AUC,5,0.9919789227166275,0.0010331795369777773,0.9906960608818813,0.9932617845513736
XGBoost,PR-AUC,5,0.9761129243041783,0.0017374452886177848,0.9739556010404529,0.9782702475679037
XGBoost,MCC,5,0.9312236538879988,0.00925808054842752,0.9197282285785457,0.9427190791974518
XGBoost,Cohen Kappa,5,0.9309087199057883,0.009183065739606004,0.919506437783781,0.9423110020277955
XGBoost,Log Loss,5,0.07964728007788,0.0021639179409988804,0.07696042107547447,0.08233413908028551
XGBoost,Brier Score,5,0.019303165008236253,0.00021498316603729678,0.019036228150747878,0.019570101865724627
XGBoost,FPR,5,0.00819672131147541,0.0028979786114202767,0.004598405602110317,0.011795037020840504
XGBoost,FNR,5,0.075,0.007985957062499252,0.06508412462429358,0.08491587537570641
XGBoost,Train Seconds,5,0.31977269999988495,0.14614444778130276,0.13831040065247135,0.5012349993472985
XGBoost,Inference Seconds,5,0.0017698799997560855,0.0004326145940422817,0.0012327180332362478,0.002307041966275923
